flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label,ftp_patator
172.16.0.1_59326_192.168.10.50_21_TCP_2017-07-04 09:14:04.962988,14:05.0,172.16.0.1,59326,192.168.10.50,21,TCP,8.627655029296875,26,11,15,313,125,188,34,0,12.03846154,12.30534833,151.4215976,34,0,12.03846154,12.30534833,87.68595041,34,0,12.03846154,12.30534833,197.5822222,848,40,32,32.61538462,2.13175484,360,40,32,32.72727273,2.2998383,488,40,32,32.53333333,1.99555061,11.363636363636363,12.533333333333331,12.038461538461538,29200,28960,0,0,0,0,0,0,0,0,36.27868742284524,14.488293699219344,21.790393723625893,3.013565089437624,1.7385952439063213,1.2749698455313023,1.3636363636363635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,2,25,0,0,1,7,0,0,1,10,0,0,1,7,0,0,1,15,0,0,0.3451062,0.90301647,2.939507007598877,2.86102294921875e-06,8.627655029296875,0.8627655,1.29005187,2.982697964,3.814697265625e-06,8.627655029296875,0.61620751,1.13539858,2.939507007598877,2.86102294921875e-06,8.626905203,3.6666666666666665,5,41.66666666666666,41.66666666666666,FTP-Patator,ftp_patator
192.168.10.50_21_172.16.0.1_59326_TCP_2017-07-04 09:14:13.590670,14:13.6,192.168.10.50,21,172.16.0.1,59326,TCP,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1499174054,0,1499174054,1499174054,1499174054,0,0,0,0,0,1499174054,0,1499174054,1499174054,1499174054,0,0,0,0,FTP-Patator,ftp_patator
172.16.0.1_59330_192.168.10.50_21_TCP_2017-07-04 09:14:07.699642,14:07.7,172.16.0.1,59330,192.168.10.50,21,TCP,8.754899978637695,26,11,15,307,119,188,34,0,11.80769231,12.15293327,147.693787,34,0,11.80769231,12.15293327,77.96694215,34,0,11.80769231,12.15293327,197.5822222,848,40,32,32.61538462,2.13175484,360,40,32,32.72727273,2.2998383,488,40,32,32.53333333,1.99555061,10.818181818181818,12.533333333333331,11.807692307692308,29200,28960,0,0,0,0,0,0,0,0,35.066077367998744,13.592388295738928,21.47368907225982,2.96976551,1.713326255765411,1.256439254227968,1.3636363636363635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,2,25,0,0,1,7,0,0,1,10,0,0,1,7,0,0,1,15,0,0,0.350196,0.92923775,3.1565868854522705,2.86102294921875e-06,8.754899978637695,0.87549,1.33203897,3.202357053756714,2.86102294921875e-06,8.754899978637695,0.62529893,1.17044721,3.1565868854522705,2.86102294921875e-06,8.754184961,3.6666666666666665,5,39.66666666666666,39.66666666666666,FTP-Patator,ftp_patator
192.168.10.50_21_172.16.0.1_59330_TCP_2017-07-04 09:14:16.454603,14:16.5,192.168.10.50,21,172.16.0.1,59330,TCP,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1499174056.4546027,0,1499174056.454603,1499174056.454603,1499174056.454603,0,0,0,0,0,1499174056.4546027,0,1499174056.454603,1499174056.454603,1499174056.454603,0,0,0,0,FTP-Patator,ftp_patator
172.16.0.1_59328_192.168.10.50_21_TCP_2017-07-04 09:14:07.699050,14:07.7,172.16.0.1,59328,192.168.10.50,21,TCP,8.763517141342163,26,10,16,308,120,188,34,0,11.84615385,12.1297229,147.1301775,34,0,11.84615385,12.1297229,71.4,34,0,11.84615385,12.1297229,194.4375,836,40,20,32.15384615,3.23076923,328,40,32,32.8,2.4,508,40,20,31.75,3.59687364,12,11.75,11.846153846153848,29200,28960,0,0,0,0,0,0,0,0,35.14570634511576,13.693132342252897,21.452574002862868,2.966845340821461,1.8257509789670523,1.1410943618544078,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,2,24,0,1,0,7,0,0,1,9,0,0,1,7,0,0,1,15,0,1,0.35054069,0.93031599,3.156589984893799,3.0994415283203125e-06,8.763517141342163,0.97371634,1.37097347,3.201155901,0.000272036,8.763447046279907,0.58422494,1.14279097,3.156589984893799,3.0994415283203125e-06,8.763374090194702,3.333333333333333,5.333333333333333,40,40,FTP-Patator,ftp_patator
172.16.0.1_59332_192.168.10.50_21_TCP_2017-07-04 09:14:07.911012,14:07.9,172.16.0.1,59332,192.168.10.50,21,TCP,8.721873998641968,26,11,15,308,120,188,34,0,11.84615385,12.12655163,147.0532544,34,0,11.84615385,12.12655163,76.62809917,34,0,11.84615385,12.12655163,197.5822222,848,40,32,32.61538462,2.13175484,360,40,32,32.72727273,2.2998383,488,40,32,32.53333333,1.99555061,10.909090909090908,12.533333333333331,11.846153846153848,29200,28960,0,0,0,0,0,0,0,0,35.313511757674654,13.758511074418696,21.55500068325596,2.981010732790718,1.7198138843023372,1.2611968484883809,1.3636363636363635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,2,25,0,0,1,7,0,0,1,10,0,0,1,7,0,0,1,15,0,0,0.34887496,0.93035784,3.1591010093688965,2.86102294921875e-06,8.721873998641968,0.8721874,1.33566908,3.201906919,3.0994415283203125e-06,8.721873998641968,0.62294672,1.17258156,3.1591010093688965,2.86102294921875e-06,8.721254110336304,3.6666666666666665,5,40,40,FTP-Patator,ftp_patator
192.168.10.50_21_172.16.0.1_59332_TCP_2017-07-04 09:14:16.632919,14:16.6,192.168.10.50,21,172.16.0.1,59332,TCP,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1499174056.632919,0,1499174056.632919,1499174056.632919,1499174056.632919,0,0,0,0,0,1499174056.632919,0,1499174056.632919,1499174056.632919,1499174056.632919,0,0,0,0,FTP-Patator,ftp_patator
172.16.0.1_59334_192.168.10.50_21_TCP_2017-07-04 09:14:10.359040,14:10.4,172.16.0.1,59334,192.168.10.50,21,TCP,8.682497978,26,10,16,316,128,188,34,0,12.15384615,12.45512656,155.1301775,34,0,12.15384615,12.45512656,91.56,34,0,12.15384615,12.45512656,194.4375,836,40,20,32.15384615,3.23076923,328,40,32,32.8,2.4,508,40,20,31.75,3.59687364,12.8,11.75,12.153846153846152,29200,28960,0,0,0,0,0,0,0,0,36.39505598423771,14.742301158172236,21.652754826065472,2.994529922753735,1.8427876447715288,1.151742277982206,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,2,24,0,1,0,7,0,0,1,9,0,0,1,7,0,0,1,15,0,1,0.34729992,0.92610817,3.099529981613159,2.86102294921875e-06,8.682497978,0.96471243,1.36692266,3.143790006637573,3.0994415283203125e-06,8.682411909103394,0.57882547,1.13818263,3.099529981613159,2.86102294921875e-06,8.682382106781006,3.333333333333333,5.333333333333333,42.66666666666666,42.66666666666666,FTP-Patator,ftp_patator
172.16.0.1_59336_192.168.10.50_21_TCP_2017-07-04 09:14:10.483553,14:10.5,172.16.0.1,59336,192.168.10.50,21,TCP,8.951095104,26,10,16,313,125,188,34,0,12.03846154,12.28344968,150.8831361,34,0,12.03846154,12.28344968,80.85,34,0,12.03846154,12.28344968,194.4375,836,40,20,32.15384615,3.23076923,328,40,32,32.8,2.4,508,40,20,31.75,3.59687364,12.5,11.75,12.038461538461538,29200,28960,0,0,0,0,0,0,0,0,34.96778844998779,13.964771745202793,21.0030167,2.904672523002181,1.7874907833859577,1.1171817396162234,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,2,24,0,1,0,7,0,0,1,9,0,0,1,7,0,0,1,15,0,1,0.3580438,0.95502419,3.160539150238037,2.86102294921875e-06,8.951095104,0.9945568,1.40848056,3.2035419940948486,4.792213439941406e-05,8.951011180877686,0.59672941,1.17375515,3.160539150238037,2.86102294921875e-06,8.950941086,3.333333333333333,5.333333333333333,41.66666666666666,41.66666666666666,FTP-Patator,ftp_patator
172.16.0.1_59338_192.168.10.50_21_TCP_2017-07-04 09:14:13.199398,14:13.2,172.16.0.1,59338,192.168.10.50,21,TCP,9.183205842971802,26,10,16,311,123,188,34,0,11.96153846,12.22381273,149.4215976,34,0,11.96153846,12.22381273,77.21,34,0,11.96153846,12.22381273,194.4375,836,40,20,32.15384615,3.23076923,328,40,32,32.8,2.4,508,40,20,31.75,3.59687364,12.3,11.75,11.961538461538462,29200,28960,0,0,0,0,0,0,0,0,33.86616888676389,13.39401534749826,20.47215353926563,2.831255276706949,1.7423109395119687,1.0889443371949803,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,2,24,0,1,0,7,0,0,1,9,0,0,1,7,0,0,1,15,0,1,0.36732823,0.97834107,3.156904935836792,2.86102294921875e-06,9.183205842971802,1.02034476,1.44286892,3.202662944793701,4.792213439941406e-05,9.183102846,0.61220366,1.20222811,3.156904935836792,2.86102294921875e-06,9.183054924,3.333333333333333,5.333333333333333,41,41,FTP-Patator,ftp_patator
